project,test,truth,pred,wrong,body_lines,body__async__n,body__async__f,body__conc__n,body__conc__f,body__time__n,body__time__f,body__uc__n,body__uc__f,body__od__n,body__od__f,body__lines,fields__async__n,fields__async__f,fields__conc__n,fields__conc__f,fields__time__n,fields__time__f,fields__uc__n,fields__uc__f,fields__od__n,fields__od__f,fields__lines,fixtures__async__n,fixtures__async__f,fixtures__conc__n,fixtures__conc__f,fixtures__time__n,fixtures__time__f,fixtures__uc__n,fixtures__uc__f,fixtures__od__n,fixtures__od__f,fixtures__lines,siblings__async__n,siblings__async__f,siblings__conc__n,siblings__conc__f,siblings__time__n,siblings__time__f,siblings__uc__n,siblings__uc__f,siblings__od__n,siblings__od__f,siblings__lines,helpers__async__n,helpers__async__f,helpers__conc__n,helpers__conc__f,helpers__time__n,helpers__time__f,helpers__uc__n,helpers__uc__f,helpers__od__n,helpers__od__f,helpers__lines,context__async__n,context__async__f,context__conc__n,context__conc__f,context__time__n,context__time__f,context__uc__n,context__uc__f,context__od__n,context__od__f,context__lines,callees__async__n,callees__async__f,callees__conc__n,callees__conc__f,callees__time__n,callees__time__f,callees__uc__n,callees__uc__f,callees__od__n,callees__od__f,callees__lines,contextall__async__n,contextall__async__f,contextall__conc__n,contextall__conc__f,contextall__time__n,contextall__time__f,contextall__uc__n,contextall__uc__f,contextall__od__n,contextall__od__f,contextall__lines
apache_hadoop,TestDelegationTokenForProxyUser.testWebHdfsDoAs,OD,conc,True,60,0,0,0,0,0,0,2,1,3,2,60,0,0,0,0,0,0,0,0,7,2,10,0,0,0,0,0,0,0,0,9,3,25,0,0,2,2,0,0,1,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,17,4,56,0,0,0,0,0,0,3,2,1,1,106,0,0,2,2,0,0,4,3,18,4,162
apache_hadoop,TestMetricsSystemImpl.testInitFirstVerifyCallBacks,UC,async,True,30,2,1,2,2,0,0,2,1,7,2,30,0,0,2,2,0,0,2,1,2,1,9,0,0,0,0,0,0,0,0,0,0,0,18,4,33,4,0,0,6,3,40,2,325,1,1,2,2,0,0,6,3,0,0,55,19,5,37,6,0,0,14,4,42,3,390,0,0,7,3,0,0,4,1,9,2,103,19,5,44,6,0,0,18,5,51,4,493
apache_hadoop,TestWritableName.testSetName,OD,OD,False,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,38,0,0,2,1,0,0,0,0,0,0,17,0,0,2,1,0,0,0,0,1,1,55
apache_hadoop,TestPeerCache.testAddAndRetrieve,OD,async,True,14,0,0,0,0,0,0,0,0,8,2,14,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,32,2,118,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,0,1,1,33,3,133,1,1,5,3,0,0,0,0,1,1,33,3,2,5,3,0,0,1,1,34,3,166
apache_hadoop,TestDFSIO.testRead,OD,time,True,8,0,0,0,0,2,1,0,0,1,1,8,0,0,0,0,0,0,0,0,5,2,23,0,0,0,0,0,0,0,0,8,2,20,0,0,0,0,0,0,0,0,5,1,29,0,0,0,0,4,2,0,0,5,2,74,0,0,0,0,4,2,0,0,23,4,146,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,2,0,0,23,4,161
apache_hadoop,TestPeerCache.testExpiry,OD,async,True,24,2,1,0,0,0,0,0,0,6,2,24,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,2,101,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,35,3,116,1,1,5,3,0,0,0,0,1,1,26,1,1,5,3,0,0,1,1,36,3,142
apache_hadoop,TestSecurityUtil.testBuildTokenServiceSockAddr,OD,OD,False,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,9,3,2,1,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,2,218,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,9,3,4,2,242
apache_hadoop,TestDFSIO.testWrite,OD,time,True,8,0,0,0,0,2,1,0,0,1,1,8,0,0,0,0,0,0,0,0,5,2,23,0,0,0,0,0,0,0,0,8,2,20,0,0,0,0,0,0,0,0,6,1,34,0,0,0,0,4,2,0,0,7,3,83,0,0,0,0,4,2,0,0,26,4,160,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,2,0,0,26,4,175
apache_pulsar,TopicReaderTest.testMultiReaderIsAbleToSeekWithTimeOnMiddleOfTopic,time,time,False,23,0,0,0,0,1,1,2,2,2,1,23,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,7,15,3,2,1,3,1,78,5,76,1,1409,0,0,0,0,0,0,0,0,0,0,0,15,3,2,1,3,1,78,5,78,2,1418,1,1,1,1,0,0,0,0,0,0,17,16,3,3,2,3,1,78,5,78,2,1435
apache_pulsar,ZKSessionTest.testReacquireLocksAfterSessionLost,async,async,False,26,8,4,4,2,1,1,0,0,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,14,3,3,2,0,0,5,2,92,0,0,0,0,0,0,0,0,0,0,0,19,4,14,3,3,2,0,0,5,2,95,0,0,0,0,0,0,0,0,0,0,4,19,4,14,3,3,2,0,0,5,2,99
apache_pulsar,BacklogQuotaManagerTest.testConsumerBacklogEvictionTimeQuotaWithEmptyLedger,async,async,False,28,3,3,0,0,2,1,3,2,1,1,28,0,0,0,0,0,0,0,0,1,1,3,0,0,4,2,0,0,5,1,3,1,60,55,3,32,3,5,1,43,4,14,1,1056,0,0,0,0,0,0,0,0,0,0,11,55,3,36,3,5,1,48,4,18,2,1130,0,0,0,0,0,0,0,0,0,0,6,55,3,36,3,5,1,48,4,18,2,1136
apache_pulsar,InactiveTopicDeleteTest.testTopicLevelInActiveTopicApi,async,async,False,33,3,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,66,3,0,0,2,1,51,6,23,1,514,0,0,0,0,0,0,0,0,0,0,0,66,3,0,0,2,1,51,6,24,1,522,0,0,0,0,0,0,0,0,0,0,4,66,3,0,0,2,1,51,6,24,1,526
apache_pulsar,KeySharedSubscriptionTest.testRemoveFirstConsumer,async,async,False,24,0,0,0,0,0,0,0,0,1,1,24,0,0,0,0,1,1,2,2,3,1,4,0,0,0,0,0,0,0,0,1,1,8,12,4,8,3,0,0,31,4,19,2,884,0,0,0,0,0,0,3,3,0,0,45,12,4,8,3,1,1,36,5,23,3,941,0,0,0,0,0,0,0,0,0,0,3,12,4,8,3,1,1,36,5,23,3,944
apache_pulsar,PersistentFailoverE2ETest.testSimpleConsumerEventsWithoutPartition,conc,async,True,143,16,3,0,0,0,0,2,1,10,3,143,0,0,4,1,0,0,4,2,0,0,5,0,0,0,0,0,0,0,0,1,1,6,10,4,1,1,0,0,9,3,9,3,258,4,1,0,0,0,0,0,0,0,0,19,14,4,5,2,0,0,13,3,10,3,288,6,2,2,1,0,0,3,3,0,0,32,20,4,7,2,0,0,16,5,10,3,320
apache_pulsar,ServerCnxTest.testDuplicateConcurrentSubscribeCommand,conc,async,True,18,2,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,1,1,1,23,2,1,1,1,0,0,0,0,5,1,58,48,4,7,2,4,1,17,2,0,0,1325,1,1,0,0,0,0,0,0,3,2,36,51,4,8,3,4,1,19,3,9,2,1442,0,0,0,0,0,0,0,0,1,1,10,51,4,8,3,4,1,19,3,10,2,1452
apache_pulsar,AntiAffinityNamespaceGroupTest.testBrokerSelectionForAntiAffinityGroup,conc,async,True,35,1,1,0,0,0,0,3,1,8,1,35,0,0,1,1,0,0,0,0,0,0,13,2,2,9,4,0,0,0,0,5,1,68,0,0,0,0,0,0,28,3,1,1,219,0,0,0,0,0,0,2,1,2,1,12,2,2,10,4,0,0,30,3,8,2,312,0,0,2,1,2,1,0,0,1,1,104,2,2,12,5,2,1,30,3,9,3,416
apache_pulsar,NamespacesTest.testSubscribeRate,async,async,False,27,5,3,0,0,0,0,3,1,0,0,27,0,0,0,0,0,0,2,1,1,1,12,0,0,0,0,0,0,8,3,1,1,58,27,4,0,0,0,0,128,6,35,3,1317,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,138,6,37,4,1388,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,138,6,37,4,1389
apache_pulsar,ManagedLedgerTest.testMaximumRolloverTime,async,async,False,16,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134,6,51,6,2,1,88,5,88,2,2921,0,0,0,0,0,0,0,0,0,0,0,134,6,51,6,2,1,88,5,89,3,2924,0,0,4,2,0,0,3,2,0,0,23,134,6,55,6,2,1,91,5,89,3,2947
apache_pulsar,DiscoveryServiceTest.testBrokerDiscoveryRoundRobin,async,OD,True,10,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,6,8,1,0,0,0,0,0,0,0,0,54,2,2,0,0,0,0,0,0,0,0,12,11,3,0,0,0,0,0,0,1,1,75,0,0,0,0,0,0,3,1,0,0,18,11,3,0,0,0,0,3,1,1,1,93
apache_pulsar,PrometheusMetricsTest.testPerTopicStats,conc,async,True,103,0,0,0,0,0,0,22,4,2,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,3,2,1,10,3,183,6,33,1,1012,0,0,0,0,0,0,0,0,0,0,45,5,3,2,1,10,3,183,6,34,1,1065,1,1,1,1,0,0,0,0,0,0,24,6,4,3,1,10,3,183,6,34,1,1089
apache_pulsar,AvroSchemaTest.testNotAllowNullSchema,UC,UC,False,19,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,2,2,0,0,259,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,3,2,2,0,0,264,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,19,3,2,2,0,0,275
apache_pulsar,ReplicatorTest.testReplicatorProducerName,async,async,False,15,2,2,0,0,0,0,3,3,0,0,15,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,1,12,48,5,8,3,3,2,43,6,21,1,1083,0,0,0,0,0,0,0,0,0,0,0,48,5,8,3,3,2,43,6,24,2,1098,0,0,0,0,0,0,0,0,0,0,4,48,5,8,3,3,2,43,6,24,2,1102
apache_pulsar,MessageIdTest.producerSendAsync,async,async,False,46,2,1,0,0,0,0,4,3,0,0,46,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,2,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,54,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,2,2,2,71
apache_pulsar,MessageIdTest.testChecksumReconnection,async,async,False,36,4,1,0,0,0,0,0,0,1,1,36,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,6,6,1,0,0,0,0,12,3,4,2,340,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,12,3,6,3,348,13,1,6,4,0,0,0,0,0,0,153,19,2,6,4,0,0,12,3,6,3,501
